event_id,asset_class,signal_a,signal_b,n_obs,pearson,spearman
cr-2017-btctop,crypto,v,sigma,107131,0.424,0.355
cr-2017-btctop,crypto,v,q,107131,0.429,0.349
cr-2017-btctop,crypto,v,illiq,104717,0.011,0.706
cr-2017-btctop,crypto,sigma,q,107131,0.362,0.337
cr-2017-btctop,crypto,sigma,illiq,104717,-0.005,0.109
cr-2017-btctop,crypto,q,illiq,104717,-0.016,-0.327
cr-2018-bchfork-abc,crypto,v,sigma,41041,0.378,0.361
cr-2018-bchfork-abc,crypto,v,q,41280,0.371,0.464
cr-2018-bchfork-abc,crypto,v,illiq,35428,-0.012,0.252
cr-2018-bchfork-abc,crypto,sigma,q,41041,0.245,0.392
cr-2018-bchfork-abc,crypto,sigma,illiq,35200,-0.022,-0.242
cr-2018-bchfork-abc,crypto,q,illiq,35428,-0.013,-0.775
cr-2018-bchfork-sv,crypto,v,sigma,41041,0.466,0.494
cr-2018-bchfork-sv,crypto,v,q,41280,0.539,0.527
cr-2018-bchfork-sv,crypto,v,illiq,38678,-0.003,0.272
cr-2018-bchfork-sv,crypto,sigma,q,41041,0.393,0.539
cr-2018-bchfork-sv,crypto,sigma,illiq,38441,-0.006,-0.135
cr-2018-bchfork-sv,crypto,q,illiq,38678,-0.003,-0.634
cr-2019-tether,crypto,v,sigma,63361,0.377,0.363
cr-2019-tether,crypto,v,q,63361,0.657,0.485
cr-2019-tether,crypto,v,illiq,62851,0.176,0.579
cr-2019-tether,crypto,sigma,q,63361,0.401,0.512
cr-2019-tether,crypto,sigma,illiq,62851,-0.132,-0.107
cr-2019-tether,crypto,q,illiq,62851,-0.217,-0.357
cr-2020-covid,crypto,v,sigma,79073,0.512,0.444
cr-2020-covid,crypto,v,q,79073,0.644,0.544
cr-2020-covid,crypto,v,s_eff,79073,0.874,0.742
cr-2020-covid,crypto,v,illiq,78936,0.294,0.655
cr-2020-covid,crypto,sigma,q,79073,0.439,0.546
cr-2020-covid,crypto,sigma,s_eff,79073,0.644,0.673
cr-2020-covid,crypto,sigma,illiq,78936,0.129,0.146
cr-2020-covid,crypto,q,s_eff,79073,0.764,0.79
cr-2020-covid,crypto,q,illiq,78936,-0.115,-0.189
cr-2020-covid,crypto,s_eff,illiq,78936,0.126,0.22
cr-2021-elonchina,crypto,v,sigma,87407,0.426,0.358
cr-2021-elonchina,crypto,v,q,87407,0.613,0.454
cr-2021-elonchina,crypto,v,s_eff,87407,0.805,0.701
cr-2021-elonchina,crypto,v,illiq,87336,0.382,0.707
cr-2021-elonchina,crypto,sigma,q,87407,0.48,0.507
cr-2021-elonchina,crypto,sigma,s_eff,87407,0.596,0.621
cr-2021-elonchina,crypto,sigma,illiq,87336,0.038,0.101
cr-2021-elonchina,crypto,q,s_eff,87407,0.775,0.738
cr-2021-elonchina,crypto,q,illiq,87336,-0.161,-0.212
cr-2021-elonchina,crypto,s_eff,illiq,87336,0.114,0.242
cr-2022-luna,crypto,v,sigma,17320,0.605,0.697
cr-2022-luna,crypto,v,q,17320,0.459,0.765
cr-2022-luna,crypto,v,s_eff,17320,0.899,0.847
cr-2022-luna,crypto,v,illiq,16669,0.451,0.258
cr-2022-luna,crypto,sigma,q,17320,0.434,0.843
cr-2022-luna,crypto,sigma,s_eff,17320,0.753,0.846
cr-2022-luna,crypto,sigma,illiq,16669,0.261,-0.121
cr-2022-luna,crypto,q,s_eff,17320,0.527,0.935
cr-2022-luna,crypto,q,illiq,16669,0.661,-0.281
cr-2022-luna,crypto,s_eff,illiq,16669,0.375,-0.095
cr-2022-celsius,crypto,v,sigma,63361,0.425,0.415
cr-2022-celsius,crypto,v,q,63361,0.444,0.484
cr-2022-celsius,crypto,v,s_eff,63361,0.837,0.75
cr-2022-celsius,crypto,v,illiq,63078,0.331,0.619
cr-2022-celsius,crypto,sigma,q,63361,0.241,0.451
cr-2022-celsius,crypto,sigma,s_eff,63361,0.577,0.637
cr-2022-celsius,crypto,sigma,illiq,63078,0.074,0.085
cr-2022-celsius,crypto,q,s_eff,63361,0.574,0.76
cr-2022-celsius,crypto,q,illiq,63078,-0.192,-0.307
cr-2022-celsius,crypto,s_eff,illiq,63078,0.082,0.159
cr-2022-ftx,crypto,v,sigma,41761,0.468,0.473
cr-2022-ftx,crypto,v,q,41761,0.657,0.522
cr-2022-ftx,crypto,v,s_eff,41761,0.873,0.742
cr-2022-ftx,crypto,v,illiq,41739,0.431,0.747
cr-2022-ftx,crypto,sigma,q,41761,0.435,0.453
cr-2022-ftx,crypto,sigma,s_eff,41761,0.616,0.724
cr-2022-ftx,crypto,sigma,illiq,41739,0.204,0.247
cr-2022-ftx,crypto,q,s_eff,41761,0.814,0.757
cr-2022-ftx,crypto,q,illiq,41739,-0.062,-0.107
cr-2022-ftx,crypto,s_eff,illiq,41739,0.234,0.328
cr-2023-usdc,crypto,v,sigma,11881,0.562,0.558
cr-2023-usdc,crypto,v,q,12120,0.289,0.272
cr-2023-usdc,crypto,v,illiq,7205,0.273,0.285
cr-2023-usdc,crypto,sigma,q,11881,0.144,0.4
cr-2023-usdc,crypto,sigma,illiq,6999,0.217,0.073
cr-2023-usdc,crypto,q,illiq,7205,-0.284,-0.712
cr-2023-curve,crypto,s,v,23041,0.298,0.382
cr-2023-curve,crypto,s,sigma,23041,0.566,0.711
cr-2023-curve,crypto,s,q,23041,0.213,0.534
cr-2023-curve,crypto,s,d,23041,0.752,0.738
cr-2023-curve,crypto,s,illiq,9052,-0.197,-0.3
cr-2023-curve,crypto,v,sigma,23041,0.447,0.465
cr-2023-curve,crypto,v,q,23041,0.562,0.581
cr-2023-curve,crypto,v,d,23041,0.086,0.216
cr-2023-curve,crypto,v,illiq,9052,-0.087,-0.372
cr-2023-curve,crypto,sigma,q,23041,0.384,0.694
cr-2023-curve,crypto,sigma,d,23041,0.215,0.524
cr-2023-curve,crypto,sigma,illiq,9052,-0.151,-0.57
cr-2023-curve,crypto,q,d,23041,0.025,0.377
cr-2023-curve,crypto,q,illiq,9052,-0.08,-0.961
cr-2023-curve,crypto,d,illiq,9052,-0.111,-0.148
cr-2024-etf,crypto,s,v,129460,0.46,0.213
cr-2024-etf,crypto,s,sigma,129460,0.142,0.125
cr-2024-etf,crypto,s,q,129460,0.51,0.307
cr-2024-etf,crypto,s,d,129460,-0.043,-0.12
cr-2024-etf,crypto,s,illiq,126833,-0.019,0.064
cr-2024-etf,crypto,v,sigma,129601,0.405,0.428
cr-2024-etf,crypto,v,q,129601,0.629,0.551
cr-2024-etf,crypto,v,d,129460,-0.149,-0.317
cr-2024-etf,crypto,v,illiq,126974,0.238,0.569
cr-2024-etf,crypto,sigma,q,129601,0.409,0.596
cr-2024-etf,crypto,sigma,d,129460,-0.252,-0.621
cr-2024-etf,crypto,sigma,illiq,126974,-0.118,-0.103
cr-2024-etf,crypto,q,d,129460,-0.141,-0.417
cr-2024-etf,crypto,q,illiq,126974,-0.218,-0.292
cr-2024-etf,crypto,d,illiq,126833,0.025,0.093
fx-2013-goldcrash,commodity,s,v,13315,0.34,0.375
fx-2013-goldcrash,commodity,s,sigma,13315,0.595,0.671
fx-2013-goldcrash,commodity,s,q,13315,0.226,0.322
fx-2013-goldcrash,commodity,s,illiq,13185,0.279,0.29
fx-2013-goldcrash,commodity,v,sigma,13315,0.459,0.546
fx-2013-goldcrash,commodity,v,q,13315,0.587,0.641
fx-2013-goldcrash,commodity,v,illiq,13185,0.438,0.691
fx-2013-goldcrash,commodity,sigma,q,13315,0.618,0.678
fx-2013-goldcrash,commodity,sigma,illiq,13185,0.12,0.155
fx-2013-goldcrash,commodity,q,illiq,13185,-0.055,-0.04
fx-2015-snb,fx,s,v,13989,0.245,0.606
fx-2015-snb,fx,s,sigma,13989,0.287,0.67
fx-2015-snb,fx,s,q,13989,0.212,0.373
fx-2015-snb,fx,s,illiq,12486,0.183,0.496
fx-2015-snb,fx,v,sigma,13989,0.238,0.743
fx-2015-snb,fx,v,q,13989,0.129,0.713
fx-2015-snb,fx,v,illiq,12486,0.721,0.744
fx-2015-snb,fx,sigma,q,13989,0.268,0.674
fx-2015-snb,fx,sigma,illiq,12486,0.187,0.408
fx-2015-snb,fx,q,illiq,12486,-0.026,0.086
fx-2016-brexit,fx,s,v,18595,0.167,-0.084
fx-2016-brexit,fx,s,sigma,18595,0.272,-0.076
fx-2016-brexit,fx,s,q,18595,-0.059,-0.275
fx-2016-brexit,fx,s,illiq,18341,0.283,0.141
fx-2016-brexit,fx,v,sigma,18595,0.5,0.406
fx-2016-brexit,fx,v,q,18595,0.508,0.576
fx-2016-brexit,fx,v,illiq,18341,0.636,0.773
fx-2016-brexit,fx,sigma,q,18595,0.574,0.621
fx-2016-brexit,fx,sigma,illiq,18341,0.208,0.061
fx-2016-brexit,fx,q,illiq,18341,0.066,-0.008
fx-2019-jpyflash,fx,s,v,11386,0.38,-0.054
fx-2019-jpyflash,fx,s,sigma,11386,0.181,0.046
fx-2019-jpyflash,fx,s,q,11386,0.065,-0.171
fx-2019-jpyflash,fx,s,illiq,11011,0.362,0.085
fx-2019-jpyflash,fx,v,sigma,11386,0.312,0.275
fx-2019-jpyflash,fx,v,q,11386,0.373,0.421
fx-2019-jpyflash,fx,v,illiq,11011,0.438,0.755
fx-2019-jpyflash,fx,sigma,q,11386,0.278,0.367
fx-2019-jpyflash,fx,sigma,illiq,11011,0.059,0.042
fx-2019-jpyflash,fx,q,illiq,11011,-0.048,-0.215
fx-2022-ldi,fx,s,v,26871,-0.003,-0.032
fx-2022-ldi,fx,s,sigma,26871,0.037,0.058
fx-2022-ldi,fx,s,q,26871,-0.154,-0.087
fx-2022-ldi,fx,s,illiq,26556,0.367,0.084
fx-2022-ldi,fx,v,sigma,26871,0.364,0.375
fx-2022-ldi,fx,v,q,26871,0.472,0.48
fx-2022-ldi,fx,v,illiq,26556,0.202,0.754
fx-2022-ldi,fx,sigma,q,26871,0.486,0.562
fx-2022-ldi,fx,sigma,illiq,26556,0.022,0.069
fx-2022-ldi,fx,q,illiq,26556,-0.104,-0.112
