signal_a,signal_b,n_events,median_pearson,median_spearman,min_spearman,max_spearman
q,d,2,-0.058,-0.02,-0.417,0.377
q,s_eff,5,0.764,0.76,0.738,0.935
s,d,2,0.354,0.309,-0.12,0.738
s,q,7,0.212,0.307,-0.275,0.534
s,sigma,7,0.272,0.125,-0.076,0.711
s,v,7,0.298,0.213,-0.084,0.606
sigma,d,2,-0.019,-0.048,-0.621,0.524
sigma,q,17,0.401,0.539,0.337,0.843
sigma,s_eff,5,0.616,0.673,0.621,0.846
v,d,2,-0.032,-0.05,-0.317,0.216
v,q,17,0.508,0.522,0.272,0.765
v,s_eff,5,0.873,0.742,0.701,0.847
v,sigma,17,0.426,0.428,0.275,0.743
