event_id,signal,baseline_days,stress_multiple,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h
cr-2020-covid,v,15,1.5,0.000359,0.075106,209.41,0.48,0.83
cr-2020-covid,sigma,15,1.5,0.000629,0.016744,26.617,62.68,388.4
cr-2020-covid,q,15,1.5,25.879777,2319.28637,89.618,2.6,5.8
cr-2020-covid,s_eff,15,1.5,7.752408,1167.347629,150.579,0.73,35.27
cr-2020-covid,illiq,15,1.5,0.0,0.0,136.939,0.0,0.03
cr-2021-elonchina,v,15,1.5,0.000437,0.059738,136.747,0.9,0.98
cr-2021-elonchina,sigma,15,1.5,0.000709,0.011624,16.399,169.65,471.05
cr-2021-elonchina,q,15,1.5,28.426868,1848.147496,65.014,12.28,43.05
cr-2021-elonchina,s_eff,15,1.5,8.808495,824.506749,93.604,6.48,15.37
cr-2021-elonchina,illiq,15,1.5,0.0,0.0,21.22,0.0,0.17
cr-2022-luna,v,15,1.5,0.000619,0.805849,1302.333,2.67,4.12
cr-2022-luna,sigma,15,1.5,0.001091,0.128138,117.481,122.87,119.88
cr-2022-luna,q,15,1.5,1211.73,7258487090.21,5990185.182,86.48,86.82
cr-2022-luna,s_eff,15,1.5,12.216114,9299.171063,761.222,67.12,75.02
cr-2022-luna,illiq,15,1.5,0.0,1e-06,242.847,1.17,1.0
cr-2022-ftx,v,15,1.5,0.000225,0.044764,198.583,0.35,1.12
cr-2022-ftx,sigma,15,1.5,0.000431,0.005373,12.462,16.78,104.57
cr-2022-ftx,q,15,1.5,128.34018,4448.79635,34.664,4.45,8.42
cr-2022-ftx,s_eff,15,1.5,5.698158,535.545924,93.986,5.68,8.8
cr-2022-ftx,illiq,15,1.5,0.0,0.0,16.428,0.1,0.12
cr-2022-celsius,v,15,1.5,0.000387,0.022701,58.7,0.07,0.33
cr-2022-celsius,sigma,15,1.5,0.000724,0.003961,5.475,77.82,118.33
cr-2022-celsius,q,15,1.5,23.8212,3971.22457,166.71,0.02,3.93
cr-2022-celsius,s_eff,15,1.5,7.16764,445.262586,62.121,7.92,11.35
cr-2022-celsius,illiq,15,1.5,0.0,0.0,16.297,0.0,0.02
cr-2023-curve,s,15,1.5,12.659402,22.253097,1.758,6.08,2.8
cr-2023-curve,v,15,1.5,0.001265,0.029794,23.552,0.0,0.17
cr-2023-curve,sigma,15,1.5,0.000872,0.006632,7.604,38.92,146.4
cr-2023-curve,q,15,1.5,811.3,5012998.2,6178.97,0.45,3.82
cr-2023-curve,d,15,1.5,119945.029609,57217.295794,2.096,0.02,0.23
cr-2023-curve,illiq,15,1.5,0.0,0.000173,384.956,0.0,0.02
cr-2024-etf,s,15,1.5,0.026185,5.730413,218.84,0.32,0.58
cr-2024-etf,v,15,1.5,0.000272,0.028054,103.064,0.37,0.68
cr-2024-etf,sigma,15,1.5,0.000492,0.003787,7.69,12.12,43.2
cr-2024-etf,q,15,1.5,15.97854,1598.53715,100.043,1.13,6.62
cr-2024-etf,d,15,1.5,13.626471,0.895477,15.217,1.88,2.25
cr-2024-etf,illiq,15,1.5,0.0,0.0,13.199,0.07,0.12
eq-2008-lehman,v,15,1.5,0.010314,0.109572,10.624,264.0,120.0
eq-2008-lehman,sigma,15,1.5,0.011433,0.062736,5.487,1032.0,936.0
eq-2008-lehman,q,15,1.5,3785180000.0,11456230000.0,3.027,768.0,768.0
eq-2008-lehman,illiq,15,1.5,0.0,0.0,7.764,0.0,48.0
eq-2018-volmageddon,v,15,1.5,0.025696,0.768245,29.898,72.0,168.0
eq-2018-volmageddon,sigma,15,1.5,0.057287,0.304428,5.314,408.0,360.0
eq-2020-covid,v,15,1.5,0.003823,0.127652,33.392,432.0,648.0
eq-2020-covid,sigma,15,1.5,0.009215,0.075383,8.18,672.0,864.0
eq-2020-covid,q,15,1.5,3750400000.0,9053950000.0,2.414,528.0,696.0
eq-2020-covid,illiq,15,1.5,0.0,0.0,24.307,432.0,336.0
eq-2023-svb,v,15,1.5,0.005607,0.131364,23.428,96.0,168.0
eq-2023-svb,sigma,15,1.5,0.011601,0.058381,5.032,312.0,408.0
eq-2023-svb,q,15,1.5,6845700.0,97268000.0,14.209,24.0,408.0
eq-2023-svb,illiq,15,1.5,0.0,0.0,2.077,0.0,48.0
fx-2015-snb,s,15,1.5,0.85678,34.705821,40.507,12.92,55.23
