event_id,asset_class,resolution,n_bars_raw,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,episode_start,episode_end,n_obs
cr-2014-mtgox,crypto,day,78,v,0.021967,1.474395,67.118,96.0,120.0,24.0,2014-02-22 00:00:00+00:00,2014-02-27 00:00:00+00:00,43
cr-2014-mtgox,crypto,day,78,sigma,0.037255,0.666407,17.888,240.0,456.0,360.0,2014-02-07 00:00:00+00:00,2014-03-13 00:00:00+00:00,43
cr-2014-mtgox,crypto,day,78,q,8052715.48,36412212.3,4.522,0.0,48.0,96.0,2014-02-06 00:00:00+00:00,2014-02-11 00:00:00+00:00,43
cr-2017-btctop,crypto,minute,158970,v,0.000526,0.062977,119.658,0.0,0.23,0.25,2018-02-09 10:00:00+00:00,2018-02-09 10:15:00+00:00,107131
cr-2017-btctop,crypto,minute,158970,sigma,0.001739,0.011385,6.547,16.6,67.15,59.3,2018-01-16 08:03:00+00:00,2018-01-19 12:11:00+00:00,107131
cr-2017-btctop,crypto,minute,158970,q,1.429261,356.148821,249.184,21.08,62.48,41.48,2018-02-05 06:22:00+00:00,2018-02-07 20:56:00+00:00,107131
cr-2018-bchfork-abc,crypto,minute,42720,v,,,,,,,,,41280
cr-2018-bchfork-abc,crypto,minute,42720,sigma,,,,,,,,,41041
cr-2018-bchfork-abc,crypto,minute,42720,q,,,,,,,,,41281
cr-2018-bchfork-sv,crypto,minute,42720,v,,,,,,,,,41280
cr-2018-bchfork-sv,crypto,minute,42720,sigma,,,,,,,,,41041
cr-2018-bchfork-sv,crypto,minute,42720,q,,,,,,,,,41281
cr-2019-tether,crypto,minute,114240,v,0.000198,0.048483,245.469,0.1,0.77,0.67,2019-04-03 22:37:00+00:00,2019-04-03 23:23:00+00:00,63361
cr-2019-tether,crypto,minute,114240,sigma,0.000353,0.004756,13.459,43.6,66.95,34.98,2019-04-02 04:32:00+00:00,2019-04-05 11:07:00+00:00,63361
cr-2019-tether,crypto,minute,114240,q,12.242819,1350.595779,110.317,6.73,9.3,2.75,2019-04-03 15:59:00+00:00,2019-04-04 01:28:00+00:00,63361
cr-2020-covid,crypto,minute,130498,v,0.00034,0.075106,221.214,0.4,0.75,0.37,2020-03-12 10:23:00+00:00,2020-03-12 11:09:00+00:00,79073
cr-2020-covid,crypto,minute,130498,sigma,0.000602,0.016744,27.832,33.03,319.92,313.87,2020-03-11 15:39:00+00:00,2020-03-26 05:13:00+00:00,79073
cr-2020-covid,crypto,minute,130498,q,22.458193,2319.28637,103.271,1.43,4.53,3.27,2020-04-02 15:37:00+00:00,2020-04-02 20:19:00+00:00,79073
cr-2020-covid,crypto,minute,130498,s_eff,7.450517,1167.347629,156.68,0.63,11.03,10.47,2020-03-12 10:10:00+00:00,2020-03-12 21:17:00+00:00,79073
cr-2021-elonchina,crypto,minute,139246,v,0.000516,0.059738,115.666,0.72,0.8,0.1,2021-05-19 12:38:00+00:00,2021-05-19 13:27:00+00:00,87407
cr-2021-elonchina,crypto,minute,139246,sigma,0.000844,0.011624,13.77,25.23,107.85,85.08,2021-05-18 12:52:00+00:00,2021-05-23 04:30:00+00:00,87407
cr-2021-elonchina,crypto,minute,139246,q,29.531226,1848.147496,62.583,11.95,31.47,20.08,2021-05-19 00:52:00+00:00,2021-05-20 08:55:00+00:00,87407
cr-2021-elonchina,crypto,minute,139246,s_eff,10.590648,824.506749,77.852,2.55,11.13,8.6,2021-05-19 10:23:00+00:00,2021-05-19 21:32:00+00:00,87407
cr-2022-celsius,crypto,minute,115200,v,0.00045,0.022701,50.459,0.02,0.28,0.27,2022-06-18 06:50:00+00:00,2022-06-18 07:07:00+00:00,63361
cr-2022-celsius,crypto,minute,115200,sigma,0.000825,0.003961,4.8,67.42,67.22,8.9,2022-06-12 23:44:00+00:00,2022-06-16 05:13:00+00:00,63361
cr-2022-celsius,crypto,minute,115200,q,28.37869,3971.22457,139.937,0.02,2.38,2.47,2022-06-18 06:50:00+00:00,2022-06-18 09:19:00+00:00,63361
cr-2022-celsius,crypto,minute,115200,s_eff,8.819545,445.262586,50.486,0.9,3.97,3.25,2022-06-15 17:06:00+00:00,2022-06-15 21:15:00+00:00,63361
cr-2022-ftx,crypto,minute,93600,v,0.000227,0.044764,197.196,0.35,0.7,0.35,2022-11-08 19:13:00+00:00,2022-11-08 19:55:00+00:00,41761
cr-2022-ftx,crypto,minute,93600,sigma,0.000442,0.005373,12.161,5.4,86.03,89.77,2022-11-08 14:35:00+00:00,2022-11-12 14:16:00+00:00,41761
cr-2022-ftx,crypto,minute,93600,q,124.93591,4448.79635,35.609,2.62,6.22,3.8,2022-11-08 15:43:00+00:00,2022-11-08 22:08:00+00:00,41761
cr-2022-ftx,crypto,minute,93600,s_eff,5.879517,535.545924,91.087,3.58,6.73,3.15,2022-11-08 15:59:00+00:00,2022-11-08 22:43:00+00:00,41761
cr-2022-luna,crypto,minute,68800,v,0.000678,0.805849,1188.627,2.67,4.1,1.45,2022-05-12 14:06:00+00:00,2022-05-12 18:13:00+00:00,17320
cr-2022-luna,crypto,minute,68800,sigma,0.00117,0.128138,109.508,107.22,99.28,,2022-05-08 12:37:00+00:00,2022-05-13 00:39:00+00:00,17320
cr-2022-luna,crypto,minute,68800,q,1318.0,7258487090.21,5507198.096,82.17,82.55,,2022-05-09 14:06:00+00:00,2022-05-13 00:39:00+00:00,17320
cr-2022-luna,crypto,minute,68800,s_eff,13.471037,9299.171063,690.308,67.07,74.97,,2022-05-09 21:41:00+00:00,2022-05-13 00:39:00+00:00,17320
cr-2023-curve,crypto,minute,74880,s,12.870115,22.253097,1.729,,,,2023-08-01 02:10:00+00:00,2023-08-01 02:12:00+00:00,23041
cr-2023-curve,crypto,minute,74880,v,0.001298,0.029794,22.956,0.0,0.15,0.17,2023-08-01 03:33:00+00:00,2023-08-01 03:43:00+00:00,23041
cr-2023-curve,crypto,minute,74880,sigma,0.000969,0.006632,6.845,15.07,46.8,46.53,2023-07-31 13:53:00+00:00,2023-08-03 05:49:00+00:00,23041
cr-2023-curve,crypto,minute,74880,q,1702.5,5012998.2,2944.492,0.45,1.95,1.5,2023-08-05 10:42:00+00:00,2023-08-05 12:39:00+00:00,23041
cr-2023-curve,crypto,minute,74880,d,130478.026115,57217.295794,2.28,0.0,0.05,0.27,2023-07-29 21:42:00+00:00,2023-07-29 22:00:00+00:00,23041
cr-2023-usdc,crypto,minute,13560,v,,,,,,,,,12120
cr-2023-usdc,crypto,minute,13560,sigma,,,,,,,,,11881
cr-2023-usdc,crypto,minute,13560,q,,,,,,,,,12121
cr-2024-etf,crypto,minute,181440,s,0.026689,5.730413,214.712,0.32,0.33,0.73,2024-02-28 17:12:00+00:00,2024-02-28 18:15:00+00:00,129460
cr-2024-etf,crypto,minute,181440,v,0.000273,0.028054,102.781,0.37,0.68,0.32,2024-02-28 17:09:00+00:00,2024-02-28 17:50:00+00:00,129601
cr-2024-etf,crypto,minute,181440,sigma,0.000494,0.003787,7.666,11.18,34.03,31.02,2024-02-28 08:25:00+00:00,2024-03-01 03:33:00+00:00,129601
cr-2024-etf,crypto,minute,181440,q,17.48442,1598.53715,91.426,1.03,6.0,5.08,2024-01-03 11:07:00+00:00,2024-01-03 17:14:00+00:00,129601
cr-2024-etf,crypto,minute,181440,d,13.324108,0.895477,14.879,1.08,1.4,0.4,2024-01-12 21:19:00+00:00,2024-01-12 22:48:00+00:00,129460
