event_id,asset_class,resolution,source_used,symbol_used,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,n_obs
cr-2017-btctop,crypto,day,binance-api,BTCUSDT,sigma,0.051831,0.084016,1.621,,,,77
cr-2018-bchfork,crypto,day,binance-api,BCHABCUSDT,q,,,,,,,30
cr-2018-bchfork,crypto,minute,binance-api,BCHABCUSDT,q,,,,,,,41281
cr-2018-bchfork,crypto,day,binance-api,BCHABCUSDT,sigma,,,,,,,10
cr-2018-bchfork,crypto,minute,binance-api,BCHABCUSDT,sigma,,,,,,,41261
cr-2018-bchfork,crypto,day,binance-api,BCHABCUSDT,v,,,,,,,29
cr-2018-bchfork,crypto,minute,binance-api,BCHABCUSDT,v,,,,,,,41280
cr-2022-celsius,crypto,day,binance-api,BTCUSDT,sigma,0.043583,0.056081,1.287,,,,45
cr-2023-curve,crypto,day,binance-api,CRVUSDT,sigma,0.041756,0.050786,1.216,,,,17
cr-2023-curve,crypto,minute,binance-api,CRVUSDT,v,0.0,,,,,,23041
cr-2023-usdc,crypto,minute,binance-api,USDCUSDT,q,,,,,,,12121
cr-2023-usdc,crypto,day,binance-api,BTCUSDT,sigma,0.030091,0.041099,1.366,,,,13
cr-2023-usdc,crypto,minute,binance-api,USDCUSDT,sigma,,,,,,,12101
cr-2023-usdc,crypto,minute,binance-api,USDCUSDT,v,,,,,,,12120
cr-2024-etf,crypto,day,binance-api,BTCUSDT,sigma,0.023668,0.04637,1.959,,,,91
eq-2010-flashcrash,equity,day,yahoo,^GSPC,q,5647760000.0,10617810000.0,1.88,,,,14
eq-2011-downgrade,equity,day,yahoo,^GSPC,q,3969605000.0,6446940000.0,1.624,,,,28
eq-2015-chinadev,equity,day,yahoo,^GSPC,q,3641830000.0,6612690000.0,1.816,,,,18
eq-2018-volmageddon,equity,day,yahoo,^VIX,q,0.0,,,,,,18
eq-2022-ukraine,equity,day,yahoo,^STOXX50E,sigma,0.015705,0.028067,1.787,,,,18
fx-2008-goldflight,commodity,day,yahoo,GC=F,sigma,0.017592,0.034396,1.955,,,,63
fx-2015-snb,fx,day,yahoo,EURCHF=X,q,0.0,,,,,,10
fx-2016-brexit,fx,day,yahoo,GBPUSD=X,q,0.0,,,,,,15
fx-2019-jpyflash,fx,day,yahoo,USDJPY=X,q,0.0,,,,,,10
fx-2019-jpyflash,fx,day,yahoo,USDJPY=X,sigma,0.004135,0.00644,1.557,,,,10
fx-2020-wti,commodity,day,yahoo,CL=F,sigma,0.1124,0.202317,1.8,,,,20
fx-2022-ldi,fx,day,yahoo,GBPUSD=X,q,0.0,,,,,,19
