event_id,asset_class,resolution,source_used,symbol_used,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,n_obs
cr-2022-luna,crypto,day,binance-api,LUNAUSDT,sigma,0.063267,3.432739,54.258,528.0,144.0,,14
fx-2015-snb,fx,day,yahoo,EURCHF=X,sigma,0.000885,0.042945,48.53,96.0,144.0,,10
cr-2014-mtgox,crypto,day,cryptocompare,BTC,sigma,0.048205,0.469688,9.743,144.0,576.0,,43
eq-2020-covid,equity,day,yahoo,^GSPC,sigma,0.008327,0.061669,7.406,600.0,768.0,,39
cr-2020-covid,crypto,day,binance-api,BTCUSDT,sigma,0.022565,0.133058,5.897,432.0,744.0,,56
eq-1987-blackmon,equity,day,yahoo,^GSPC,sigma,0.011454,0.064922,5.668,576.0,480.0,,32
eq-2008-lehman,equity,day,yahoo,^GSPC,sigma,0.013341,0.05361,4.018,768.0,600.0,,44
fx-2013-goldcrash,commodity,day,yahoo,GC=F,sigma,0.006392,0.025136,3.932,72.0,120.0,,10
eq-2018-volmageddon,equity,day,yahoo,^VIX,sigma,0.056678,0.218634,3.858,240.0,264.0,,18
eq-2023-svb,equity,day,yahoo,KRE,sigma,0.012221,0.044349,3.629,384.0,360.0,,18
cr-2022-ftx,crypto,day,binance-api,BTCUSDT,sigma,0.014987,0.05209,3.476,72.0,504.0,456.0,30
cr-2019-tether,crypto,day,binance-api,BTCUSDT,sigma,0.011469,0.039838,3.474,456.0,600.0,240.0,45
eq-2011-downgrade,equity,day,yahoo,^GSPC,sigma,0.009629,0.031911,3.314,504.0,432.0,,28
eq-2024-yencarry,equity,day,yahoo,^N225,sigma,0.013464,0.042736,3.174,240.0,192.0,,12
eq-2015-chinadev,equity,day,yahoo,^GSPC,sigma,0.006348,0.020034,3.156,408.0,312.0,,18
fx-2016-brexit,fx,day,yahoo,GBPUSD=X,sigma,0.006729,0.020498,3.046,264.0,240.0,,15
cr-2021-elonchina,crypto,day,binance-api,BTCUSDT,sigma,0.02862,0.068944,2.409,120.0,480.0,,62
fx-2022-ldi,fx,day,yahoo,GBPUSD=X,sigma,0.00652,0.015195,2.331,336.0,264.0,,19
eq-2010-flashcrash,equity,day,yahoo,^GSPC,sigma,0.008644,0.019029,2.201,168.0,144.0,,14
cr-2024-etf,crypto,day,binance-api,BTCUSDT,sigma,0.023668,0.04637,1.959,,,,91
fx-2008-goldflight,commodity,day,yahoo,GC=F,sigma,0.017592,0.034396,1.955,,,,63
fx-2020-wti,commodity,day,yahoo,CL=F,sigma,0.1124,0.202317,1.8,,,,20
eq-2022-ukraine,equity,day,yahoo,^STOXX50E,sigma,0.015705,0.028067,1.787,,,,18
cr-2017-btctop,crypto,day,binance-api,BTCUSDT,sigma,0.051831,0.084016,1.621,,,,77
fx-2019-jpyflash,fx,day,yahoo,USDJPY=X,sigma,0.004135,0.00644,1.557,,,,10
cr-2023-usdc,crypto,day,binance-api,BTCUSDT,sigma,0.030091,0.041099,1.366,,,,13
cr-2022-celsius,crypto,day,binance-api,BTCUSDT,sigma,0.043583,0.056081,1.287,,,,45
cr-2023-curve,crypto,day,binance-api,CRVUSDT,sigma,0.041756,0.050786,1.216,,,,17
