event_id,q,sigma,v
cr-2014-mtgox,4.522,9.743,67.118
cr-2017-btctop,28.266,1.621,6.519
cr-2019-tether,4.436,3.474,33.238
cr-2020-covid,7.467,5.897,42.844
cr-2021-elonchina,6.428,2.409,8.128
cr-2022-celsius,6.442,1.287,6.199
cr-2022-ftx,2.985,3.476,14.499
cr-2022-luna,80979.075,54.258,282.429
cr-2023-curve,19.882,1.216,6.737
cr-2023-usdc,0.996,1.366,7.648
cr-2024-etf,3.775,1.959,6.74
eq-1987-blackmon,3.399,5.668,31.721
eq-2008-lehman,2.827,4.018,11.933
eq-2010-flashcrash,1.88,2.201,6.68
eq-2011-downgrade,1.624,3.314,9.104
eq-2015-chinadev,1.816,3.156,11.466
eq-2018-volmageddon,,3.858,27.49
eq-2020-covid,2.407,7.406,29.974
eq-2022-ukraine,2.283,1.787,7.548
eq-2023-svb,16.085,3.629,16.901
eq-2024-yencarry,2.429,3.174,16.199
fx-2008-goldflight,1151.174,1.955,7.204
fx-2013-goldcrash,2.595,3.932,24.313
fx-2015-snb,,48.53,908.192
fx-2016-brexit,,3.046,15.515
fx-2019-jpyflash,,1.557,8.462
fx-2020-wti,3.079,1.8,13.104
fx-2022-ldi,,2.331,8.466
