event_id,asset_class,resolution,source_used,symbol_used,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,n_obs
fx-2015-snb,fx,day,yahoo,EURCHF=X,v,0.000208,0.188805,908.192,0.0,144.0,,10
cr-2022-luna,crypto,day,binance-api,LUNAUSDT,v,0.042794,12.086162,282.429,576.0,168.0,,14
cr-2014-mtgox,crypto,day,cryptocompare,BTC,v,0.021967,1.474395,67.118,480.0,480.0,24.0,43
cr-2020-covid,crypto,day,binance-api,BTCUSDT,v,0.011731,0.502607,42.844,432.0,600.0,144.0,56
cr-2019-tether,crypto,day,binance-api,BTCUSDT,v,0.004774,0.158684,33.238,24.0,792.0,48.0,45
eq-1987-blackmon,equity,day,yahoo,^GSPC,v,0.007219,0.228997,31.721,432.0,504.0,96.0,32
eq-2020-covid,equity,day,yahoo,^GSPC,v,0.004259,0.127652,29.974,576.0,816.0,72.0,39
eq-2018-volmageddon,equity,day,yahoo,^VIX,v,0.027946,0.768245,27.49,168.0,288.0,192.0,18
fx-2013-goldcrash,commodity,day,yahoo,GC=F,v,0.004039,0.098206,24.313,144.0,120.0,48.0,10
eq-2023-svb,equity,day,yahoo,KRE,v,0.007772,0.131364,16.901,96.0,288.0,168.0,18
eq-2024-yencarry,equity,day,yahoo,^N225,v,0.00817,0.132341,16.199,96.0,120.0,48.0,12
fx-2016-brexit,fx,day,yahoo,GBPUSD=X,v,0.005097,0.079085,15.515,168.0,144.0,168.0,15
cr-2022-ftx,crypto,day,binance-api,BTCUSDT,v,0.010523,0.152568,14.499,120.0,264.0,72.0,30
fx-2020-wti,commodity,day,yahoo,CL=F,v,0.045914,0.601676,13.104,456.0,264.0,72.0,20
eq-2008-lehman,equity,day,yahoo,^GSPC,v,0.009183,0.109572,11.933,936.0,600.0,24.0,44
eq-2015-chinadev,equity,day,yahoo,^GSPC,v,0.003507,0.040211,11.466,120.0,312.0,96.0,18
eq-2011-downgrade,equity,day,yahoo,^GSPC,v,0.007574,0.068958,9.104,288.0,288.0,96.0,28
fx-2022-ldi,fx,day,yahoo,GBPUSD=X,v,0.004999,0.042324,8.466,96.0,216.0,24.0,19
fx-2019-jpyflash,fx,day,yahoo,USDJPY=X,v,0.002425,0.020516,8.462,48.0,96.0,24.0,10
cr-2021-elonchina,crypto,day,binance-api,BTCUSDT,v,0.019095,0.155194,8.128,744.0,576.0,72.0,62
cr-2023-usdc,crypto,day,binance-api,BTCUSDT,v,0.012011,0.09186,7.648,96.0,144.0,48.0,13
eq-2022-ukraine,equity,day,yahoo,^STOXX50E,v,0.009505,0.071745,7.548,384.0,192.0,48.0,18
fx-2008-goldflight,commodity,day,yahoo,GC=F,v,0.011997,0.086432,7.204,360.0,504.0,168.0,63
cr-2024-etf,crypto,day,binance-api,BTCUSDT,v,0.013507,0.091035,6.74,1896.0,648.0,72.0,91
cr-2023-curve,crypto,day,binance-api,CRVUSDT,v,0.022815,0.153698,6.737,0.0,120.0,96.0,17
eq-2010-flashcrash,equity,day,yahoo,^GSPC,v,0.006442,0.043035,6.68,168.0,216.0,24.0,14
cr-2017-btctop,crypto,day,binance-api,BTCUSDT,v,0.033268,0.21688,6.519,1104.0,696.0,24.0,77
cr-2022-celsius,crypto,day,binance-api,BTCUSDT,v,0.026939,0.166998,6.199,288.0,168.0,24.0,45
